location,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653
variable,Temperature,Relative Humidity,Mean Sea Level Pressure
unit,°C,%,hPa
level,2 m elevation corrected,2 m,MSL
resolution,hourly,hourly,hourly
aggregation,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Mean Sea Level Pressure [MSL]
20240106T1300,6.2602453,81.998856,1010.1
20240106T1400,6.0702453,83.44102,1010.1
20240106T1500,5.860245,84.06746,1010.7
20240106T1600,5.4702454,85.952255,1010.9
20240106T1700,5.210245,86.227806,1011.3
20240106T1800,5.1602454,86.59128,1011.6
20240106T1900,5.1202455,87.32979,1011.8
20240106T2000,4.960245,88.375725,1011.9
20240106T2100,4.790245,89.49821,1011.5
20240106T2200,4.730245,91.68229,1011.8
20240106T2300,4.6002455,92.325615,1011.7
20240107T0000,4.5702453,92.586044,1011.8
20240107T0100,4.4902453,93.77111,1012.1
20240107T0200,4.3302455,94.832115,1012.3
20240107T0300,4.1902456,95.83943,1012.5
20240107T0400,4.0902452,95.3593,1012.5
20240107T0500,3.8402452,95.21054,1012.8
20240107T0600,3.6002455,95.19762,1013.2
20240107T0700,3.4702454,96.14667,1013.8
20240107T0800,3.4102454,96.14385,1014.3
20240107T0900,3.5402455,96.149956,1014.6
20240107T1000,4.1002455,95.76707,1014.9
20240107T1100,4.3702455,92.90125,1014.9
20240107T1200,4.7402453,88.47911,1014.3
20240107T1300,4.730245,88.03747,1014.4
20240107T1400,4.5402455,88.52173,1014.9
20240107T1500,4.0402455,88.5971,1015.6
20240107T1600,3.4702454,89.49933,1016.2
20240107T1700,2.7902455,90.27736,1017.0
20240107T1800,2.2102454,90.68294,1017.8
20240107T1900,1.7202454,91.16808,1018.5
20240107T2000,1.3402455,90.53691,1018.8
20240107T2100,0.9502454,89.11544,1019.2
20240107T2200,0.4902454,88.93581,1019.9
20240107T2300,0.080245405,87.45406,1019.9
20240108T0000,-0.35975462,86.6239,1020.0
20240108T0100,-0.72975457,85.547104,1020.4
20240108T0200,-0.9597546,84.81319,1020.8
20240108T0300,-1.1597546,83.51814,1020.8
20240108T0400,-1.1797546,81.460526,1021.1
20240108T0500,-1.1897546,79.14838,1021.3
20240108T0600,-1.1797546,77.308586,1021.8
20240108T0700,-1.1797546,75.90907,1022.0
20240108T0800,-1.0897546,74.892456,1022.2
20240108T0900,-0.9497546,74.63593,1022.3
20240108T1000,-0.7197546,71.5616,1022.9
20240108T1100,-0.61975455,69.63993,1022.6
20240108T1200,-0.3797546,68.53212,1022.2
20240108T1300,-0.28975457,67.978546,1022.6
20240108T1400,-0.2697546,68.03541,1022.5
20240108T1500,-0.34975457,68.22504,1022.7
20240108T1600,-0.5697546,68.80295,1023.0
20240108T1700,-0.76975465,69.445244,1023.5
20240108T1800,-0.9597546,70.04352,1024.0
20240108T1900,-1.0797546,71.09922,1024.2
20240108T2000,-0.98975456,71.173904,1024.3
20240108T2100,-1.0197546,71.82452,1024.2
20240108T2200,-0.9597546,73.279915,1024.9
20240108T2300,-1.0397546,73.76836,1025.2
20240109T0000,-1.1997546,73.509674,1025.0
20240109T0100,-1.5697545,74.224075,1025.1
20240109T0200,-1.9097546,74.72531,1025.1
20240109T0300,-2.1097546,74.62677,1025.3
20240109T0400,-2.6397548,76.38059,1025.2
20240109T0500,-2.7997546,75.12037,1025.1
20240109T0600,-2.8797545,73.492256,1025.1
20240109T0700,-2.9797544,72.33781,1025.4
20240109T0800,-2.9897547,74.041084,1025.5
20240109T0900,-2.8297548,72.42716,1025.7
20240109T1000,-2.7397547,75.42347,1026.7
20240109T1100,-2.4497547,74.90242,1026.5
20240109T1200,-2.1897545,74.897995,1026.2
20240109T1300,-1.9597546,74.31415,1026.0
20240109T1400,-1.8497547,74.3941,1026.2
20240109T1500,-1.9097546,76.230736,1026.3
20240109T1600,-2.7297544,83.85702,1026.2
20240109T1700,-2.5297546,82.30205,1026.6
20240109T1800,-2.3197546,83.40833,1026.8
20240109T1900,-2.5497546,87.33327,1027.2
20240109T2000,-2.6197548,88.05649,1027.0
20240109T2100,-2.4497547,86.03032,1026.8
20240109T2200,-2.5597544,90.97576,1027.5
20240109T2300,-2.6297545,91.31327,1027.2
20240110T0000,-2.6497545,91.79538,1027.0
20240110T0100,-2.7097545,92.067665,1026.7
20240110T0200,-2.8797545,93.24274,1026.7
20240110T0300,-2.7497544,92.34266,1026.6
20240110T0400,-2.8797545,91.6357,1026.4
20240110T0500,-3.0297546,91.13705,1026.2
20240110T0600,-3.2197547,89.81249,1026.3
20240110T0700,-3.3897548,88.97692,1026.2
20240110T0800,-3.2197547,87.31645,1026.5
20240110T0900,-2.3397546,85.65405,1026.6
20240110T1000,-1.3397546,83.743935,1027.9
20240110T1100,-0.4297546,82.814476,1027.8
20240110T1200,0.23024541,81.32003,1027.3
20240110T1300,0.8202454,81.051346,1027.0
20240110T1400,0.9502454,80.35215,1026.8
20240110T1500,0.100245416,87.13257,1026.7
20240110T1600,-1.3197546,86.893906,1026.6
20240110T1700,-2.1197548,90.47174,1026.7
20240110T1800,-2.0697546,90.81773,1026.9
20240110T1900,-2.1897545,91.76784,1027.1
20240110T2000,-2.5497546,91.183044,1027.4
20240110T2100,-2.8097544,91.711464,1027.3
20240110T2200,-2.9097548,91.0796,1028.0
20240110T2300,-3.1097546,90.71539,1028.3
20240111T0000,-3.3197546,91.10898,1028.1
20240111T0100,-3.3797545,90.55046,1028.2
