### 
### Experiment date : 2025-07-02 14:41:31 
### Parameters of the wind tunnel system 
### 

mode : 1
max_time : 1800
is_save_data : True
path_save_data : experiments\exp_2025-07-02_14-24-48
is_density_link_temperature : False
alpha : 0.1
beta : 0.02
sampling_rate : 1000
sampling_batch : 400
k_pitot : 86.207
offset_pitot : 0
offset_T : -0.146
k_T : 100
k_atm : 5200
offset_atm : 80000
factor_conv : 1
P : 0.12
I : 0.015
D : 0.075
conv_factor : 0.05

### 
### Data 
### 

t [s], v [m/s], v_target [m/s], T [K], Pressure_pitot [Pa], P_amb [Pa], Control_signal [V]
0.8476331233978271, 0, 0, 298, -3.974472912143499, 101905.46248482785, 0.0
1.2812120914459229, 0, 0, 298, -3.921224674335208, 101905.46248482785, 0.0
1.7026829719543457, 0, 0, 298, -3.3568488204817086, 101905.46248482785, 0.0
2.121011257171631, 0, 0, 298, -3.308315270396027, 101905.46248482785, 0.0
2.542445182800293, 0, 0, 298, -3.363782184779663, 101905.46248482785, 0.0
2.963571310043335, 0, 0, 298, -4.065993320876499, 101905.46248482785, 0.0
3.385324478149414, 0, 0, 298, -3.194053426765736, 101905.46248482785, 0.0
3.8055245876312256, 0, 0, 298, -4.163892424763617, 101905.46248482785, 0.0
4.22471809387207, 0, 0, 298, -3.8793471539755626, 101905.46248482785, 0.0
4.642512559890747, 0, 0, 298, -3.9273260349174084, 101905.46248482785, 0.0
5.063063144683838, 0, 0, 298, -3.797256120687781, 101905.46248482785, 0.0
5.481733083724976, 0, 0, 298, -3.7295864851397442, 101905.46248482785, 0.0
5.903035402297974, 0, 0, 298, -3.403718363135881, 101905.46248482785, 0.0
6.3242809772491455, 0, 0, 298, -3.4755480172626902, 101905.46248482785, 0.0
6.745095491409302, 0, 0, 298, -3.4550252589407444, 101905.46248482785, 0.0
7.176907539367676, 0, 5.0, 298, -4.489760546767481, 101905.46248482785, 0.0
7.595242977142334, 0, 5.0, 298, -3.488028072999008, 101905.46248482785, 0.0
8.016096830368042, 0, 5.0, 298, -3.3848596122454446, 101905.46248482785, 0.1080373045905707
8.438434362411499, 0, 5.0, 298, -4.086793413770363, 101905.46248482785, 0.20829337872208437
8.858415126800537, 0, 5.0, 298, -3.808626838136426, 101905.46248482785, 0.25502029084987593
9.291148662567139, 0, 5.0, 298, -3.6943649945061354, 101905.46248482785, 0.30009701176488834
9.712220191955566, 0, 5.0, 298, -3.7714640054993898, 101905.46248482785, 0.3436885605883995
10.146403789520264, 0, 5.0, 298, -2.7017845616109635, 101905.46248482785, 0.3859434545295596
10.567442655563354, 0, 5.0, 298, -3.6635808570232173, 101905.46248482785, 0.4269953590766037
10.989035606384277, 0, 5.0, 298, -2.123819313733473, 101905.46248482785, 0.46696457316894335
11.412040948867798, 0, 5.0, 298, -4.075145361749798, 101905.46248482785, 0.505959365852049
11.830630779266357, 0, 5.0, 298, -4.9850800922133525, 101905.46248482785, 0.5440771792668442
12.254169225692749, 0, 5.0, 298, -3.483590719848318, 101905.46248482785, 0.5814057113401597
12.666637659072876, 0, 5.0, 298, -4.197449907965717, 101905.46248482785, 0.6180238902061438
13.075395584106445, 0, 5.0, 298, -3.8047441541295717, 101905.46248482785, 0.6540027511855294
13.488541841506958, 0, 5.0, 298, -3.1649332967143264, 101905.46248482785, 0.6894062260669764
13.9082772731781, 0, 5.0, 298, -4.1666657704827985, 101905.46248482785, 0.7242918534602788
14.32905387878418, 0, 5.0, 298, -3.9051392691639535, 101905.46248482785, 0.758711418114251
14.748149633407593, 0, 5.0, 298, -2.7744462194535275, 101905.46248482785, 0.7927115263028259
15.167946815490723, 0, 5.0, 298, -5.252707954114397, 101905.46248482785, 0.8263341236725433
15.58728814125061, 0, 5.0, 298, -3.9450754475201717, 101905.46248482785, 0.8596169613052891
16.008578300476074, 0, 5.0, 298, -3.7573199423315624, 101905.46248482785, 0.8925940151747602
16.426226377487183, 0, 5.0, 298, -3.792541432965172, 101905.46248482785, 0.9252958636572842
16.848723649978638, 0, 5.0, 298, -3.065647519967618, 101905.46248482785, 0.9577500272915558
17.26836323738098, 0, 5.0, 298, -3.5565297122627992, 101905.46248482785, 0.9899812745624003
17.6880464553833, 0, 5.0, 298, -3.8954325591468173, 101905.46248482785, 1.0220118971061602
18.108591079711914, 0, 5.0, 298, -3.439771857485245, 101905.46248482785, 1.0538619573955441
18.542921781539917, 0, 5.0, 298, -3.1873973970396996, 101905.46248482785, 1.0855495116559897
18.961243152618408, 0, 5.0, 298, -2.6549150189567907, 101905.46248482785, 1.1170908104903907
19.382675170898438, 0, 5.0, 298, -3.5440496565264814, 101905.46248482785, 1.1485004794413516
19.816502332687378, 0, 5.0, 298, -2.718979305069891, 101905.46248482785, 1.1797916814972162
20.23503875732422, 0, 5.0, 298, -3.099759672313554, 101905.46248482785, 1.2109762633474948
20.65529227256775, 0, 5.0, 298, -2.7958009814912272, 101905.46248482785, 1.2420648870127453
21.089731454849243, 0, 5.0, 298, -3.7908774255336626, 101905.46248482785, 1.2730671483114706
21.507997035980225, 0, 5.0, 298, -3.036804724488127, 101905.46248482785, 1.3039916834803233
21.92901587486267, 0, 5.0, 298, -3.122778441782763, 101905.46248482785, 1.334846265132291
22.353018760681152, 0, 5.0, 298, -2.539266502466909, 101905.46248482785, 1.3656378886190619
22.77170419692993, 0, 5.0, 298, -2.0691844030655915, 101905.46248482785, 1.3963728497571557
23.19408655166626, 0, 5.0, 298, -1.2341300070199466, 101905.46248482785, 1.4270568147814402
23.612895727157593, 0, 5.0, 298, -1.2233139587151374, 101905.46248482785, 1.457694883303296
24.031959295272827, 0, 5.0, 298, -2.4316606885626544, 101905.46248482785, 1.4882916449729664
24.452388763427734, 0, 5.0, 298, -2.2724706442816185, 101905.46248482785, 1.5188512304756698
24.87259578704834, 0, 5.0, 298, -1.1933618249479738, 101905.46248482785, 1.549377357428103
25.29367733001709, 0, 5.0, 298, -0.506404090306638, 101905.46248482785, 1.5798733716852924
25.713526964187622, 0, 5.0, 298, -1.8733861952913549, 101905.46248482785, 1.6103422845167632
26.13417673110962, 0, 5.0, 298, -1.2172125981329376, 101905.46248482785, 1.6407868060650868
26.555934190750122, 0, 5.0, 298, -1.3536612075166827, 101905.46248482785, 1.671209375458578
26.97717523574829, 0, 5.0, 298, -0.6445167071218925, 101905.46248482785, 1.70161218791272
27.397668600082397, 0, 5.0, 298, -0.5721323838512471, 101905.46248482785, 1.7319972191214479
27.81681203842163, 0.8822458555965949, 5.0, 298, 0.46371224226316116, 101905.46248482785, 1.762366247209303
28.23898983001709, 0.4206078362636609, 5.0, 298, 0.10539597534487052, 101905.46248482785, 1.773657779643401
28.65807795524597, 1.2608538009691457, 5.0, 298, 0.9471064011165516, 101905.46248482785, 1.796284166675433
29.078718900680542, 1.1479942972677462, 5.0, 298, 0.7851430111163337, 101905.46248482785, 1.8094700594912219
29.500049114227295, 0.6201057420711381, 5.0, 298, 0.2290871944203795, 101905.46248482785, 1.8217406450804985
29.91930317878723, 1.5067636980498151, 5.0, 298, 1.3525695452609332, 101905.46248482785, 1.8543377068083582
30.339750289916992, 2.0370629167526593, 5.0, 298, 2.472169212094632, 101905.46248482785, 1.8661140998247507
30.759254455566406, 1.6752944176833884, 5.0, 298, 1.6720589721106782, 101905.46248482785, 1.8624539808936418
31.177889585494995, 1.9463773619872333, 5.0, 298, 2.2569575842861234, 101905.46248482785, 1.8770184073201164
31.61421537399292, 2.1527256174817313, 5.0, 298, 2.7608745014614593, 101905.46248482785, 1.8912133075835822
32.03288435935974, 2.301345579136271, 5.0, 298, 3.1552442627291137, 101905.46248482785, 1.8980096386518928
32.455299854278564, 2.5108762099105797, 5.0, 298, 3.7559509455038946, 101905.46248482785, 1.9051586979375532
32.87627172470093, 2.1772379875338634, 5.0, 298, 2.8241067838588045, 101905.46248482785, 1.9106168770164171
33.29637050628662, 2.81190429222137, 5.0, 298, 4.710536542046276, 101905.46248482785, 1.925625928459135
33.729472637176514, 2.7702071583064414, 5.0, 298, 4.571869256087186, 101905.46248482785, 1.9290766337326983
34.149202823638916, 2.733839018315971, 5.0, 298, 4.452615390162367, 101905.46248482785, 1.9313013674961617
34.56993389129639, 2.8763922599905896, 5.0, 298, 4.929076184717803, 101905.46248482785, 1.9413430646473284
34.991119384765625, 3.2189240640313015, 5.0, 298, 6.172921739770848, 101905.46248482785, 1.9482822721728124
35.40990328788757, 3.136001898562348, 5.0, 298, 5.858979004359465, 101905.46248482785, 1.948071624042252
35.83255743980408, 2.9904145306699785, 5.0, 298, 5.32760596456423, 101905.46248482785, 1.9520769265584996
36.252333879470825, 3.29093403763168, 5.0, 298, 6.452197653692456, 101905.46248482785, 1.963141589720108
36.676637172698975, 3.3068797193194723, 5.0, 298, 6.514875266945965, 101905.46248482785, 1.9670495092404845
37.096357583999634, 3.5417243814885113, 5.0, 298, 7.473066212923283, 101905.46248482785, 1.9699005003239416
37.51587891578674, 3.4942196606001565, 5.0, 298, 7.273939990286029, 101905.46248482785, 1.9712118840463653
37.93481779098511, 3.6863118740831724, 5.0, 298, 8.095682326879599, 101905.46248482785, 1.9744484913392961
38.353842973709106, 3.6301300967095447, 5.0, 298, 7.8507958998758465, 101905.46248482785, 1.9763063362370688
38.773629665374756, 3.934144638927491, 5.0, 298, 9.220828685151663, 101905.46248482785, 1.9795444252286196
39.19166374206543, 3.6727114332702326, 5.0, 298, 8.036055393917191, 101905.46248482785, 1.9785052679002286
39.61358642578125, 3.716746564420222, 5.0, 298, 8.229912259688, 101905.46248482785, 1.9833404603561655
40.033514976501465, 3.810441170210097, 5.0, 298, 8.650074136144045, 101905.46248482785, 1.9903719115672613
40.45429062843323, 3.9250228739471393, 5.0, 298, 9.178119161076264, 101905.46248482785, 1.993018750706573
40.862064838409424, 4.0755483931469, 5.0, 298, 9.895583698628599, 101905.46248482785, 1.99405393074229
41.273025035858154, 4.235572475480014, 5.0, 298, 10.687928570598844, 101905.46248482785, 1.9932547902426108
41.69612169265747, 4.142728182774359, 5.0, 298, 10.224502500923563, 101905.46248482785, 1.9907028876049024
42.10719323158264, 4.131757635361428, 5.0, 298, 10.170422259399517, 101905.46248482785, 1.992275072800357
42.51789331436157, 4.231393974997415, 5.0, 298, 10.666851143133062, 101905.46248482785, 1.995934363802342
42.941473722457886, 4.42462363478116, 5.0, 298, 11.663314260035088, 101905.46248482785, 1.9967357541726745
43.362239360809326, 4.4108195487862965, 5.0, 298, 11.590652602192524, 101905.46248482785, 1.9936443422685255
43.77234673500061, 4.5499429887295575, 5.0, 298, 12.333354585789415, 101905.46248482785, 1.9924352949716322
44.19192886352539, 4.598537710367224, 5.0, 298, 12.59820910197128, 101905.46248482785, 1.9904952504357423
44.61351251602173, 4.732194702091272, 5.0, 298, 13.341188420140087, 101905.46248482785, 1.987842811336428
